profile_id,profile_name,industry_sector,business_function,assets_or_services,event_types,primary_keywords,secondary_keywords,exclude_keywords,recency_days,geography_filter,preferred_source_types,active
SP-001,Warehouse Management System Outage,Supply Chain,Distribution Operations,"WMS,RF scanners,DC network","outage,system failure,platform downtime",warehouse management system outage,"distribution center,RF scanning,inventory system","retail store outage,restaurant POS",180,Global,"news,status_page,report",TRUE
SP-002,Enterprise Resource Planning Failure,Supply Chain,Order Processing,"ERP,order entry,batch processing","ERP outage,ERP failure,system downtime",ERP outage,"order processing,financial system,batch job failure","student project,game server",180,Global,"news,report,status_page",TRUE
SP-003,Third-Party Integration Disruption,Supply Chain,Supplier Integration,"EDI,API gateway,integration platform","EDI outage,API outage,integration failure",EDI outage,"supplier portal,ASN processing,PO transmission",email outage only,180,Global,"news,status_page,report",TRUE
SP-004,Transportation Management System Failure,Supply Chain,Transportation & Logistics,"TMS,carrier API,routing engine","transportation management outage,TMS failure",carrier API outage,"logistics routing failure,shipment delay system",traffic accident,180,Global,"news,status_page,report",TRUE
SP-005,Cloud Region Outage,Technology,Cloud Infrastructure,"IaaS,PaaS,region services","cloud region outage,availability zone outage",cloud provider outage,"compute service disruption,storage failure",home internet outage,90,Global,"status_page,news,advisory",TRUE
SP-006,Identity & Access Service Disruption,Technology,Identity & Access Management,"IAM,SSO,directory services","identity provider outage,SSO outage,directory outage",SSO outage,"authentication failure,login disruption",password reset help,90,Global,"status_page,news,advisory",TRUE
SP-007,Ransomware Targeting Distribution Enterprises,Cyber,Cybersecurity,"network,file servers,endpoints","ransomware distribution company,logistics ransomware attack","ransomware attack, logistics ransomware, ransomware supply chain, manufacturing ransomware","cyber attack supply chain, network compromise logistics, data breach supplier, security breach logistics company",movie review,365,Global,"news,advisory,report",TRUE
SP-008,Third-Party SaaS Provider Breach,Cyber,Vendor Risk,"SaaS platform,hosted application","SaaS provider breach,data exposure",vendor data breach,"third party compromise,customer data leak",personal blog,365,Global,"news,advisory,regulator",TRUE
SP-009,Network Core Infrastructure Failure,Technology,Network Infrastructure,"core router,firewall,SD-WAN","network core outage,router failure,firewall outage",core network outage,data center connectivity loss,home WiFi tips,180,Global,"news,report",TRUE
SP-010,Data Center Power or Environmental Failure,Operational,Physical Infrastructure,"power systems,cooling,UPS","data center power outage,cooling failure",data center outage,"UPS failure,environmental alert",residential power outage,180,Global,"news,report",TRUE
SP-011,Regulatory Enforcement Action,Regulatory,Compliance & Governance,"data protection,security controls","regulatory fine supply chain,data protection enforcement",regulatory action logistics,"HIPAA fine,GDPR enforcement",opinion piece,365,US/EU,"regulator,news,report",TRUE
SP-012,Supplier Bankruptcy or Operational Collapse,Operational,Procurement & Supply Chain,"critical supplier,manufacturing partner","supplier bankruptcy,manufacturing shutdown",supplier operational collapse,"supply disruption,production halt",celebrity bankruptcy,365,Global,"news,report",TRUE
SP-013,Destructive Cyber Wiper Activity,Cybersecurity,Security Operations,"endpoints,servers,enterprise systems","destructive malware,wiper malware","wiper malware,destructive malware,disk wipe,data wiping","system wiping,endpoint wipe,device wipe,operational disruption","movie,game,fiction,test lab",30,Global,"news,report",TRUE
SP-014,Destructive Cyber Operational Disruption,Cybersecurity,IT Operations,"order processing,manufacturing systems,shipping systems","cyberattack disruption,operational outage","cyberattack disruption,operational outage","cyberattack disrupted manufacturing,cyberattack halted shipping,order processing disrupted,operational disruptions after cyberattack","supply chain trends,how to,ways to,forecast,advice,planning guide",30,Global,"news,report",TRUE
