rank,risk_id,cluster_id,title,risk_category,business_function,event_type,primary_asset_or_service,score_used,likelihood_used,impact_used,risk_score_baseline,risk_score_adjusted,evidence_strength,confidence,internal_signals_used,internal_outage_refs,recommended_actions_top,framework_mapping,executive_summary,impact_narrative,evidence_count,start_date,end_date,publishers,urls_sample,impact_keywords,entity_summary,cluster_summary
1,RISK-OUTAGE_CLOUD_REGION-CLOUD-B5107001,CL-000059,Cloud region outage disrupts hosted workloads,Technology,Cloud Infrastructure,OUTAGE_CLOUD_REGION,cloud,20,4,5,12,20,Medium,High,True,INC-0005,Implement multi-region failover for critical services | Run regional outage game days,NIST CP-10; NIST CP-2; ISO22301 8.4,Risk signal (Medium): OUTAGE_CLOUD_REGION affecting cloud in Cloud Infrastructure. Evidence window: 2025-10-20 to 2025-10-20 across 2 source(s). Representative sources: Massive Amazon cloud outage has been resolved after disrupting internet use worldwide - AP News | Massive Amazon cloud outage has been resolved after disrupting internet use worldwide - AP News,"OUTAGE_CLOUD_REGION affecting cloud can disrupt Cloud Infrastructure, causing operational delays and recovery complications.",1,2025-10-08,2025-10-08,Cargo Airports & Airline Services,https://news.google.com/rss/articles/CBMiogFBVV95cUxNOXBVREcxaDdVeUR3ZXFKd2dJdlRDRUV0d25uQjAta21Ba2RNYlF1ZnA0eXQ1RnJpZEVaOU1qQ3ExUEx2anVQQnZEM3J3QURGdlNWR18zdjlyVFN1UEpoTkdpUTVBWjlKQlVyQm13VTZqRnR1RXpFdHl3bmZhVXVLbWU2cE9UWE9jeGs0cG1OMTJPa1BjbHg1VS1UcmNSNW4zSHc?oc=5,,,UNKNOWN affecting wms in Distribution Operations.
2,RISK-OUTAGE_APPLICATION-APPLICATIONS-3B65C7AF,CL-000060,Critical application outage disrupts business operations,Technology,Cloud Infrastructure,OUTAGE_APPLICATION,applications,20,4,5,12,20,Medium,High,True,INC-0005,Add high-availability design or failover | Improve monitoring and alerting,NIST CP-2; NIST CP-10; ISO22301 8.4,Risk signal (Medium): OUTAGE_APPLICATION affecting applications in Cloud Infrastructure. Evidence window: 2025-10-20 to 2025-10-20 across 2 source(s). Representative sources: AWS services recover after daylong outage hits major sites - CNBC | AWS services recover after daylong outage hits major sites - CNBC,"OUTAGE_APPLICATION affecting applications can disrupt Cloud Infrastructure, causing operational delays and recovery complications.",1,2025-10-08,2025-10-08,Techzine Global,https://news.google.com/rss/articles/CBMitAFBVV95cUxQWXplc2JfOFFCT1BmeDRNYjBzTHo0dnR2d2NNUzZPbW8xWjBXbS1JMklRV2ExV3pKQ0NJU0hjT0VVTHVUWk9ubWctd3QzeE80WXlOODc0dWRpN3N4OExTc19hNlBuNEJieldCdG1fX0VwTjhCT2pnVzdvcGhnNmlyU3pmSDJSX3lYLUd3eTlfbTFtUkRxUnlXbVhSamZNQnkzS0VQa1lZaUptMGFoS3Q3SE9ybV8?oc=5,outage,,OUTAGE_APPLICATION affecting applications in Identity & Access Management.
3,RISK-SECURITY_RANSOMWARE-SYSTEMS-86771980,CL-000050,Ransomware disrupts operations and recovery capabilities,Cyber,Cybersecurity,SECURITY_RANSOMWARE,systems,20,4,5,15,20,Weak,High,True,INC-0006,Harden privileged access | Immutable backups + frequent restore testing,NIST IR-4; NIST CP-9; NIST AC-2,"Risk signal (Weak): SECURITY_RANSOMWARE affecting systems in Cybersecurity. Evidence window: 2025-10-08 to 2025-10-08 across 1 source(s). Representative sources: Asahi Group Holdings Ransomware Attack 2025: Digital Order System Disrupted, Nationwide Beer Shortage in Japan - Rescana","SECURITY_RANSOMWARE affecting systems can disrupt Cybersecurity, causing operational delays and recovery complications.",1,2025-09-17,2025-09-17,Industrial Cyber,https://news.google.com/rss/articles/CBMizgFBVV95cUxPRUYtX3hOZElrRk9ibEgybzVRR2prbDhndGl4VkYtQWU1OHlVeGdZNFFTMl9sMlZwVGlLdGlTRmk1bmdYVm1tbEdreFRqX0RkUzcwMWhhc1cxRzJaYmxtYzdHOGh4dnUtenVIU2dlM1dfQk1WdGQ0RlJVU2d6aVRlc05HZ1E3cExRTHlTUGZvX2JmYWRpaFlQTVFNeUlZNHVhenp5bFlwWVkxY0htLWg2dWtlQjYwVGpiMm9rb1ZzZGhaSE1lWGFGZVA4dWFmZw?oc=5,outage,,OUTAGE_APPLICATION affecting applications in IT Operations.
4,RISK-OUTAGE_IDENTITY-LOGIN-1EAC82FB,CL-000192,Centralized identity/SSO outage disrupts workforce access,Technology,Identity & Access Management,OUTAGE_IDENTITY,login,20,4,5,12,20,Weak,High,True,INC-0001,Implement break-glass access for critical systems | Add synthetic login monitoring,NIST IA-2; NIST CP-2; ISO22301 8.4,Risk signal (Weak): OUTAGE_IDENTITY affecting login in Identity & Access Management. Evidence window: 2026-04-21 to 2026-04-21 across 1 source(s). Representative sources: Yahoo Mail faces widespread outage as users reports login failures and access issues - Storyboard18,"OUTAGE_IDENTITY affecting login can disrupt Identity & Access Management, causing operational delays and recovery complications.",1,2026-03-24,2026-03-24,Stuff,https://news.google.com/rss/articles/CBMipwFBVV95cUxOakw0dkVRVVI3U3FhWDhWXzZhUUZnRk9tY21RUkN3a3B4Ums2UUdrVHVsa21GM0RnUEtyeVpKOEh0d1RHWTFOZmV3ZXpfOUZuX0JCVGp0YXdQX2RiY3UyUlZiX2VGOExUNDZWSERrUThQSUNDVE9qb0VBZFJXeTlYWVd5ODA0RVZTN1V5UkhiSjdfV2xjQlA5ZWxaSm4tbmw0ZF9HMjhHVQ?oc=5,,,UNKNOWN affecting UNKNOWN in Compliance & Governance.
5,RISK-OUTAGE_CLOUD_REGION-CLOUD-D84B5CE9,CL-000204,Cloud region outage disrupts hosted workloads,Technology,Identity & Access Management,OUTAGE_CLOUD_REGION,cloud,20,4,5,12,20,Weak,High,True,INC-0001,Implement multi-region failover for critical services | Run regional outage game days,NIST CP-10; NIST CP-2; ISO22301 8.4,"Risk signal (Weak): OUTAGE_CLOUD_REGION affecting cloud in Identity & Access Management. Evidence window: 2026-04-27 to 2026-04-27 across 1 source(s). Representative sources: Microsoft Outlook and Hotmail Outage, Enterprise Disruption and Cloud Reliability Risks - capitolskyline.com","OUTAGE_CLOUD_REGION affecting cloud can disrupt Identity & Access Management, causing operational delays and recovery complications.",1,2026-04-01,2026-04-01,InteriorDaily,https://news.google.com/rss/articles/CBMi0gFBVV95cUxOTjZKbnJGYVk1NzBBNm52MnNDc3pDMjY3Rk9CMmo5ajhsUjVlbWhaVTdaQzEzeHF3TnY4YXVXTUxzUE01T1V0XzRRMWNxZ25jQ2prYWhpRUVPQzc4SUJ2UV9xWDZjZng2TVBrSnRUd0IzNjFVQmM4OTNlMUpVTnphbDl1aXF6bWtDYjlIV0pzYlVGeUtfRHpKY3hBTm9tbzd1ZUc4LUVqNE1rVTVoUjJqZTNCMTBIUE4tZjVfbER3X3RueC14NVVPVkNZa2IycU1aLUE?oc=5,,,UNKNOWN affecting UNKNOWN in Procurement & Supply Chain.
6,RISK-OUTAGE_IDENTITY-LOGIN-1EAC82FB,CL-000207,Centralized identity/SSO outage disrupts workforce access,Technology,Identity & Access Management,OUTAGE_IDENTITY,login,20,4,5,12,20,Weak,High,True,INC-0001,Implement break-glass access for critical systems | Add synthetic login monitoring,NIST IA-2; NIST CP-2; ISO22301 8.4,Risk signal (Weak): OUTAGE_IDENTITY affecting login in Identity & Access Management. Evidence window: 2026-04-27 to 2026-04-27 across 1 source(s). Representative sources: Outlook login not working? What caused Microsoft Outlook outage today — and was it Hacked? - The Economic Times,"OUTAGE_IDENTITY affecting login can disrupt Identity & Access Management, causing operational delays and recovery complications.",1,2026-04-03,2026-04-03,WIRED,https://news.google.com/rss/articles/CBMirAFBVV95cUxQbGlMeTN2cE80dkVVNWIzM1pUdmRKNVpCbDZLZHVWVkVsaWp0NnpBSl82MHpyMEFuU09VV1R6OTc2QWpyek1CSWR0MUVDLTFUNkRRWWhDbjJQRGFmTEFuRHU5MFo2NG83cjlwenRmNEh1Y1JBLTRLZ1F4bm5DUnk4TFpWN2JPaGswQ2ZFd1pwRjgwU3JsaDkybTc4V3BtRVJEUUxKc1dJajFWWVoz?oc=5,breach,,SECURITY_BREACH affecting UNKNOWN in Vendor Risk.
7,RISK-OUTAGE_IDENTITY-AUTHENTICATION-C4423542,CL-000208,Centralized identity/SSO outage disrupts workforce access,Technology,Identity & Access Management,OUTAGE_IDENTITY,authentication,20,4,5,12,20,Weak,High,True,INC-0001,Implement break-glass access for critical systems | Add synthetic login monitoring,NIST IA-2; NIST CP-2; ISO22301 8.4,Risk signal (Weak): OUTAGE_IDENTITY affecting authentication in Identity & Access Management. Evidence window: 2026-04-27 to 2026-04-27 across 1 source(s). Representative sources: Microsoft Investigates Outlook Authentication Glitch Amid Global Outage - AsatuNews.co.id,"OUTAGE_IDENTITY affecting authentication can disrupt Identity & Access Management, causing operational delays and recovery complications.",1,2026-04-03,2026-04-03,The HIPAA Journal,https://news.google.com/rss/articles/CBMiZEFVX3lxTE54RTM0YTFXSU9kNjVtaHl2OTdDMkV4X1luRjl1Wl8zcmd5alp2UHV0TlAzNkE4VGpMc3lEeEhuSjBCeUw5UXc1aFZEV3NYRzVkOTBQU0JzMFlXTDhOS0ktTEc0Mko?oc=5,,,UNKNOWN affecting UNKNOWN in Security Operations.
8,RISK-SECURITY_RANSOMWARE-UNKNOWN-B3810008,CL-000026,Ransomware disrupts operations and recovery capabilities,Cyber,Cybersecurity,SECURITY_RANSOMWARE,UNKNOWN,15,3,5,10,15,Weak,High,True,INC-0006,Harden privileged access | Immutable backups + frequent restore testing,NIST IR-4; NIST CP-9; NIST AC-2,Risk signal (Weak): SECURITY_RANSOMWARE affecting UNKNOWN in Cybersecurity. Evidence window: 2025-07-21 to 2025-07-21 across 1 source(s). Representative sources: Ransomware Shuts Down 158-Year-Old UK Logistics Firm - Halcyon,"SECURITY_RANSOMWARE affecting UNKNOWN can disrupt Cybersecurity, causing operational delays and recovery complications.",1,2025-06-19,2025-06-19,BBC,https://news.google.com/rss/articles/CBMiXEFVX3lxTE5paTYxVWZLNkZaMS1GNDluLU1ra3VfS1dBRU1DOGV0MXdyZ2lmRV8wZjhiMjhfcTcxajFiTGNOSW02b1cyd2dSVW9sRWtHM21UcDIzU2F5NW90b3Jj?oc=5,,,UNKNOWN affecting UNKNOWN in Order Processing.
9,RISK-OUTAGE_CLOUD_REGION-CLOUD-B5107001,CL-000065,Cloud region outage disrupts hosted workloads,Technology,Cloud Infrastructure,OUTAGE_CLOUD_REGION,cloud,15,3,5,8,15,Weak,High,True,INC-0005,Implement multi-region failover for critical services | Run regional outage game days,NIST CP-10; NIST CP-2; ISO22301 8.4,Risk signal (Weak): OUTAGE_CLOUD_REGION affecting cloud in Cloud Infrastructure. Evidence window: 2025-10-21 to 2025-10-21 across 1 source(s). Representative sources: Amazon says AWS cloud service back to normal after outage disrupts businesses worldwide - Reuters,"OUTAGE_CLOUD_REGION affecting cloud can disrupt Cloud Infrastructure, causing operational delays and recovery complications.",1,2025-10-20,2025-10-20,CNBC,https://news.google.com/rss/articles/CBMikwFBVV95cUxQVXZwNS1hVFpiNGJnblBnc0dHdUxFNjlmcC1UTDVEZFpBTWlrcFU5UnMtRVV5M2dBcjBpWVRfQzRiaF9YQ3ViYm1XLXZJTkY3VGc0dzhlSW5FeUxCSVprZXlqdVJEano0NVNpNVFGNzJGcVNjT3pnSWdLLUJMSGl3UGlqOTEyVEcxMWVxNDJ0aXB2OGfSAZgBQVVfeXFMT2txVXFrT25VbW9rVldPMWtvRXp4dFJZRWppSGxicFozbk5XVmZrUXVIbjljRzlTa0VaVXZBSEYzVVlqRzBCU1liaFo2WmpmV3FvRXo1SW5QWGowaXlwY1pvX2p0c3RaeE1raUhHV0tzZjBYaDh2dmJRemlXYjJzVS1CTjlval9nTmlJWW5fbXlVWDhOOFp2UmU?oc=5,outage,,OUTAGE_APPLICATION affecting applications in Transportation & Logistics.
10,RISK-OUTAGE_CLOUD_REGION-CLOUD-B5107001,CL-000072,Cloud region outage disrupts hosted workloads,Technology,Cloud Infrastructure,OUTAGE_CLOUD_REGION,cloud,15,3,5,8,15,Weak,High,True,INC-0005,Implement multi-region failover for critical services | Run regional outage game days,NIST CP-10; NIST CP-2; ISO22301 8.4,Risk signal (Weak): OUTAGE_CLOUD_REGION affecting cloud in Cloud Infrastructure. Evidence window: 2025-10-29 to 2025-10-29 across 1 source(s). Representative sources: Microsoft Azure outage today: Technology company says it has deployed a fix for cloud service experiencing issues - ABC7 Los Angeles,"OUTAGE_CLOUD_REGION affecting cloud can disrupt Cloud Infrastructure, causing operational delays and recovery complications.",1,2025-10-20,2025-10-20,Manufacturing Digital,https://news.google.com/rss/articles/CBMiiwFBVV95cUxQbU5lRWYwcV81ZmktRXc4T1lQMDVyODVUbzdlTUpmMXVCenQ2NHhDZVdLRmZqWVpJYzdITTZINTRZNXhTR2dkTGFFd1ByN1oxd0tNeEhaZ2dCOWdSMkxnZmF6bm82QjlLQ2s3b2tjUzRZVkZpSGtyYkZub0Rqb2pvZEw0NldFS0V6RGZN?oc=5,,,UNKNOWN affecting UNKNOWN in Cybersecurity.
