risk_id,cluster_id,event_type,primary_asset_or_service,evidence_ids,title,risk_category,business_function,assets_or_services,scenario,evidence_strength,likelihood_baseline,impact_baseline,risk_score_baseline,internal_signals_used,internal_outage_refs,likelihood_adjusted,impact_adjusted,risk_score_adjusted,confidence,availability_impact,financial_impact,regulatory_impact,reputation_impact,safety_impact,impact_narrative,existing_controls,control_gaps,recommended_actions,framework_mapping,owner_suggested,score_rationale,executive_summary,last_updated
RISK-UNKNOWN-UNKNOWN-EF4D7703,CL-000001,UNKNOWN,UNKNOWN,EV-988DE10CAF,UNKNOWN risk affects Order Processing,Technology,Order Processing,UNKNOWN,"If UNKNOWN occurs, Order Processing may be disrupted.",Weak,2,3,6,False,,,,,Low,4,3,2,3,1,"UNKNOWN affecting UNKNOWN can disrupt Order Processing, causing operational delays and recovery complications.",,,Review controls and implement appropriate mitigations,,,"Derived from incident cluster CL-000001. Evidence strength=Weak, evidence_count=1, confidence=Low. Baseline likelihood/impact assigned using deterministic rubric for UNKNOWN.","Risk signal (Weak): UNKNOWN affecting UNKNOWN in Order Processing. Evidence window: 2017-03-25 to 2017-03-25 across 1 source(s). Representative sources: What Is ""Too Big to Fail?"" Definition, History & Key Financial Reforms - Investopedia",2026-04-28T15:39:18
RISK-UNKNOWN-ERP-D930965F,CL-000002,UNKNOWN,erp,EV-03573FD089,UNKNOWN risk affects Order Processing,Technology,Order Processing,erp,"If UNKNOWN occurs, Order Processing may be disrupted.",Weak,2,3,6,False,,,,,Low,4,3,2,3,1,"UNKNOWN affecting erp can disrupt Order Processing, causing operational delays and recovery complications.",,,Review controls and implement appropriate mitigations,,,"Derived from incident cluster CL-000002. Evidence strength=Weak, evidence_count=1, confidence=Low. Baseline likelihood/impact assigned using deterministic rubric for UNKNOWN.","Risk signal (Weak): UNKNOWN affecting erp in Order Processing. Evidence window: 2017-03-26 to 2017-03-26 across 1 source(s). Representative sources: Enterprise Resource Planning (ERP): Meaning, Components, and Examples - Investopedia",2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-EF4D7703,CL-000003,UNKNOWN,UNKNOWN,EV-973951BEEA,UNKNOWN risk affects Order Processing,Technology,Order Processing,UNKNOWN,"If UNKNOWN occurs, Order Processing may be disrupted.",Weak,2,3,6,False,,,,,Low,4,3,2,3,1,"UNKNOWN affecting UNKNOWN can disrupt Order Processing, causing operational delays and recovery complications.",,,Review controls and implement appropriate mitigations,,,"Derived from incident cluster CL-000003. Evidence strength=Weak, evidence_count=1, confidence=Low. Baseline likelihood/impact assigned using deterministic rubric for UNKNOWN.",Risk signal (Weak): UNKNOWN affecting UNKNOWN in Order Processing. Evidence window: 2017-03-26 to 2017-03-26 across 1 source(s). Representative sources: Understanding Straight-Through Processing (STP): Automation in Finance - Investopedia,2026-04-28T15:39:18
RISK-DESTRUCTIVE_CYBER_ATTACK-SYSTEMS-EB0B09F8,CL-000004,DESTRUCTIVE_CYBER_ATTACK,systems,EV-5D05C06EC2,DESTRUCTIVE_CYBER_ATTACK risk affects Security Operations,Technology,Security Operations,systems,"If DESTRUCTIVE_CYBER_ATTACK occurs, Security Operations may be disrupted.",Weak,2,3,6,False,,,,,Low,4,3,2,3,1,"DESTRUCTIVE_CYBER_ATTACK affecting systems can disrupt Security Operations, causing operational delays and recovery complications.",,,"Isolate affected systems, initiate clean-room recovery, validate backups for integrity, and perform forensic analysis before restoration",Cyber Resilience / Destructive Malware,,"Derived from incident cluster CL-000004. Evidence strength=Weak, evidence_count=1, confidence=Low. Baseline likelihood/impact assigned using deterministic rubric for DESTRUCTIVE_CYBER_ATTACK.",Risk signal (Weak): DESTRUCTIVE_CYBER_ATTACK affecting systems in Security Operations. Evidence window: 2022-01-31 to 2022-01-31 across 1 source(s). Representative sources: How CrowdStrike Protects Against Data-Wiping Malware - CrowdStrike,2026-04-28T15:39:18
RISK-UNKNOWN-SYSTEMS-7536EA1B,CL-000005,UNKNOWN,systems,EV-88E2B03B9C,UNKNOWN risk affects Distribution Operations,Technology,Distribution Operations,systems,"If UNKNOWN occurs, Distribution Operations may be disrupted.",Weak,2,3,6,False,,,,,Low,4,3,2,3,1,"UNKNOWN affecting systems can disrupt Distribution Operations, causing operational delays and recovery complications.",,,Review controls and implement appropriate mitigations,,,"Derived from incident cluster CL-000005. Evidence strength=Weak, evidence_count=1, confidence=Low. Baseline likelihood/impact assigned using deterministic rubric for UNKNOWN.",Risk signal (Weak): UNKNOWN affecting systems in Distribution Operations. Evidence window: 2022-03-31 to 2022-03-31 across 1 source(s). Representative sources: Chipotle tests a high-tech inventory tracking system - Restaurant Business,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-272AAEE2,CL-000006,UNKNOWN,UNKNOWN,EV-974C2A6CFB,UNKNOWN risk affects Distribution Operations,Technology,Distribution Operations,UNKNOWN,"If UNKNOWN occurs, Distribution Operations may be disrupted.",Weak,2,3,6,False,,,,,Low,4,3,2,3,1,"UNKNOWN affecting UNKNOWN can disrupt Distribution Operations, causing operational delays and recovery complications.",,,Review controls and implement appropriate mitigations,,,"Derived from incident cluster CL-000006. Evidence strength=Weak, evidence_count=1, confidence=Low. Baseline likelihood/impact assigned using deterministic rubric for UNKNOWN.",Risk signal (Weak): UNKNOWN affecting UNKNOWN in Distribution Operations. Evidence window: 2023-01-03 to 2023-01-03 across 1 source(s). Representative sources: Drones take the night shift for improved inventory tracking - Design World,2026-04-28T15:39:18
RISK-OUTAGE_CLOUD_REGION-CLOUD-A6F509E2,CL-000007,OUTAGE_CLOUD_REGION,cloud,EV-F3ADC70142,Cloud region outage disrupts hosted workloads,Technology,Order Processing,cloud,"If a cloud region becomes unavailable, dependent applications may experience outages until failover or recovery is completed.",Weak,2,4,8,True,INC-0002,3.0,4.0,12.0,Medium,5,4,2,3,1,"OUTAGE_CLOUD_REGION affecting cloud can disrupt Order Processing, causing operational delays and recovery complications.",,,Implement multi-region failover for critical services | Run regional outage game days | Validate recovery runbooks,NIST CP-10; NIST CP-2; ISO22301 8.4,,"Derived from incident cluster CL-000007. Evidence strength=Weak, evidence_count=1, confidence=Low. Baseline likelihood/impact assigned using deterministic rubric for OUTAGE_CLOUD_REGION. Internal enrichment: matched_outages_last_365d=1, sev1/high/critical=1, refs=INC-0002.",Risk signal (Weak): OUTAGE_CLOUD_REGION affecting cloud in Order Processing. Evidence window: 2023-02-17 to 2023-02-17 across 1 source(s). Representative sources: Oracle Cloud and NetSuite hit by global outage - Techzine Global,2026-04-28T15:39:18
RISK-UNKNOWN-SYSTEMS-7536EA1B,CL-000008,UNKNOWN,systems,EV-7B463F2F4A,UNKNOWN risk affects Distribution Operations,Technology,Distribution Operations,systems,"If UNKNOWN occurs, Distribution Operations may be disrupted.",Weak,2,3,6,False,,,,,Low,4,3,2,3,1,"UNKNOWN affecting systems can disrupt Distribution Operations, causing operational delays and recovery complications.",,,Review controls and implement appropriate mitigations,,,"Derived from incident cluster CL-000008. Evidence strength=Weak, evidence_count=1, confidence=Low. Baseline likelihood/impact assigned using deterministic rubric for UNKNOWN.",Risk signal (Weak): UNKNOWN affecting systems in Distribution Operations. Evidence window: 2023-07-17 to 2023-07-17 across 1 source(s). Representative sources: 20 of the Best Warehouse Management System Solutions to Consider - Solutions Review,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-EF4D7703,CL-000009,UNKNOWN,UNKNOWN,EV-9253C1B387,UNKNOWN risk affects Order Processing,Technology,Order Processing,UNKNOWN,"If UNKNOWN occurs, Order Processing may be disrupted.",Weak,2,3,6,False,,,,,Low,4,3,2,3,1,"UNKNOWN affecting UNKNOWN can disrupt Order Processing, causing operational delays and recovery complications.",,,Review controls and implement appropriate mitigations,,,"Derived from incident cluster CL-000009. Evidence strength=Weak, evidence_count=1, confidence=Low. Baseline likelihood/impact assigned using deterministic rubric for UNKNOWN.",Risk signal (Weak): UNKNOWN affecting UNKNOWN in Order Processing. Evidence window: 2023-11-16 to 2023-11-16 across 1 source(s). Representative sources: Continuous vetting: keep your finances in order - army.mil,2026-04-28T15:39:18
RISK-UNKNOWN-UNKNOWN-272AAEE2,CL-000010,UNKNOWN,UNKNOWN,EV-FBEB525C54,UNKNOWN risk affects Distribution Operations,Technology,Distribution Operations,UNKNOWN,"If UNKNOWN occurs, Distribution Operations may be disrupted.",Weak,2,3,6,False,,,,,Low,4,3,2,3,1,"UNKNOWN affecting UNKNOWN can disrupt Distribution Operations, causing operational delays and recovery complications.",,,Review controls and implement appropriate mitigations,,,"Derived from incident cluster CL-000010. Evidence strength=Weak, evidence_count=1, confidence=Low. Baseline likelihood/impact assigned using deterministic rubric for UNKNOWN.",Risk signal (Weak): UNKNOWN affecting UNKNOWN in Distribution Operations. Evidence window: 2023-12-08 to 2023-12-08 across 1 source(s). Representative sources: Warehouse drones scan codes to help track inventory - Indianapolis Business Journal,2026-04-28T15:39:18
