report_run_id,report_date,rank,risk_id,cluster_id,event_type,primary_asset_or_service,title,risk_category,business_function,score_used,likelihood_used,impact_used,evidence_strength,confidence,internal_signals_used,internal_outage_refs,recommended_actions_top,framework_mapping,executive_summary
605610aa-7810-453d-b8c0-c6c51314c04d,2026-03-18,1,RISK-SECURITY_RANSOMWARE-UNKNOWN-B3810008,CL-000057,SECURITY_RANSOMWARE,UNKNOWN,Ransomware disrupts operations and recovery capabilities,Cyber,Cybersecurity,25,5,5,Strong,High,True,INC-0006,Harden privileged access | Immutable backups + frequent restore testing,NIST IR-4; NIST CP-9; NIST AC-2,Risk signal (Strong): SECURITY_RANSOMWARE affecting UNKNOWN in Cybersecurity. Evidence window: 2025-05-13 to 2025-05-13 across 19 source(s). Representative sources: How Interlock Ransomware Affects the Defense Industrial Base Supply Chain - Resecurity | How Interlock Ransomware Affects the Defense Industrial Base Supply Chain - Resecurity
605610aa-7810-453d-b8c0-c6c51314c04d,2026-03-18,2,RISK-OUTAGE_NETWORK-NETWORK-ED8652FB,CL-000062,OUTAGE_NETWORK,network,Network outage disrupts connectivity to critical services,Technology,Network Infrastructure,25,5,5,Strong,High,True,INC-0004,Increase network redundancy | Improve failover testing,NIST CP-2; NIST SC-5; ISO22301 8.4,Risk signal (Strong): OUTAGE_NETWORK affecting network in Network Infrastructure. Evidence window: 2025-07-25 to 2025-07-25 across 6 source(s). Representative sources: SpaceX probes for cause of Starlink's global satellite network outage - Reuters | SpaceX probes for cause of Starlink's global satellite network outage - Reuters
605610aa-7810-453d-b8c0-c6c51314c04d,2026-03-18,3,RISK-OUTAGE_IDENTITY-AUTHENTICATION-C4423542,CL-000063,OUTAGE_IDENTITY,authentication,Centralized identity/SSO outage disrupts workforce access,Technology,Identity & Access Management,25,5,5,Strong,High,True,INC-0001,Implement break-glass access for critical systems | Add synthetic login monitoring,NIST IA-2; NIST CP-2; ISO22301 8.4,Risk signal (Strong): OUTAGE_IDENTITY affecting authentication in Identity & Access Management. Evidence window: 2025-08-12 to 2025-08-12 across 8 source(s). Representative sources: IBM Cloud hit by fourth major outage since May as authentication failures expose systemic issues - Network World | IBM Cloud hit by fourth major outage since May as authentication failures expose systemic issues - Network World
605610aa-7810-453d-b8c0-c6c51314c04d,2026-03-18,4,RISK-OUTAGE_NETWORK-NETWORK-ED8652FB,CL-000069,OUTAGE_NETWORK,network,Network outage disrupts connectivity to critical services,Technology,Network Infrastructure,25,5,5,Strong,High,True,INC-0004,Increase network redundancy | Improve failover testing,NIST CP-2; NIST SC-5; ISO22301 8.4,Risk signal (Strong): OUTAGE_NETWORK affecting network in Network Infrastructure. Evidence window: 2025-09-03 to 2025-09-03 across 6 source(s). Representative sources: A software issue likely caused Verizon's weekend outage - Fierce Network | A software issue likely caused Verizon's weekend outage - Fierce Network
605610aa-7810-453d-b8c0-c6c51314c04d,2026-03-18,5,RISK-SECURITY_RANSOMWARE-UNKNOWN-B3810008,CL-000075,SECURITY_RANSOMWARE,UNKNOWN,Ransomware disrupts operations and recovery capabilities,Cyber,Cybersecurity,25,5,5,Strong,High,True,INC-0006,Harden privileged access | Immutable backups + frequent restore testing,NIST IR-4; NIST CP-9; NIST AC-2,"Risk signal (Strong): SECURITY_RANSOMWARE affecting UNKNOWN in Cybersecurity. Evidence window: 2025-10-08 to 2025-10-08 across 7 source(s). Representative sources: Asahi Group Holdings Ransomware Attack 2025: Digital Order System Disrupted, Nationwide Beer Shortage in Japan - Rescana | Asahi Group Holdings Ransomware Attack 2025: Digital Order System Disrupted, Nationwide Beer Shortage in Japan - Rescana"
605610aa-7810-453d-b8c0-c6c51314c04d,2026-03-18,6,RISK-OUTAGE_APPLICATION-UNKNOWN-EF219986,CL-000076,OUTAGE_APPLICATION,UNKNOWN,Critical application outage disrupts business operations,Technology,Network Infrastructure,25,5,5,Strong,High,True,INC-0004,Add high-availability design or failover | Improve monitoring and alerting,NIST CP-2; NIST CP-10; ISO22301 8.4,Risk signal (Strong): OUTAGE_APPLICATION affecting UNKNOWN in Network Infrastructure. Evidence window: 2025-10-09 to 2025-10-09 across 5 source(s). Representative sources: AWS hit by six-hour connectivity outage in Japan - capacityglobal.com | AWS hit by six-hour connectivity outage in Japan - capacityglobal.com
605610aa-7810-453d-b8c0-c6c51314c04d,2026-03-18,7,RISK-OUTAGE_NETWORK-NETWORK-ED8652FB,CL-000078,OUTAGE_NETWORK,network,Network outage disrupts connectivity to critical services,Technology,Network Infrastructure,25,5,5,Strong,High,True,INC-0004,Increase network redundancy | Improve failover testing,NIST CP-2; NIST SC-5; ISO22301 8.4,Risk signal (Strong): OUTAGE_NETWORK affecting network in Network Infrastructure. Evidence window: 2025-10-13 to 2025-10-13 across 5 source(s). Representative sources: Verizon Wireless Network Outage Affects a Number of U.S. Cities - Inside Towers | Verizon Wireless Network Outage Affects a Number of U.S. Cities - Inside Towers
605610aa-7810-453d-b8c0-c6c51314c04d,2026-03-18,8,RISK-OUTAGE_CLOUD_REGION-CLOUD-B5107001,CL-000080,OUTAGE_CLOUD_REGION,cloud,Cloud region outage disrupts hosted workloads,Technology,Cloud Infrastructure,25,5,5,Strong,High,True,INC-0005,Implement multi-region failover for critical services | Run regional outage game days,NIST CP-10; NIST CP-2; ISO22301 8.4,Risk signal (Strong): OUTAGE_CLOUD_REGION affecting cloud in Cloud Infrastructure. Evidence window: 2025-10-20 to 2025-10-20 across 8 source(s). Representative sources: The AWS US-East Outage: A Wake-Up Call For Cloud Resilience - Forrester | The AWS US-East Outage: A Wake-Up Call For Cloud Resilience - Forrester
605610aa-7810-453d-b8c0-c6c51314c04d,2026-03-18,9,RISK-OUTAGE_CLOUD_REGION-CLOUD-B5107001,CL-000081,OUTAGE_CLOUD_REGION,cloud,Cloud region outage disrupts hosted workloads,Technology,Cloud Infrastructure,25,5,5,Strong,High,True,INC-0005,Implement multi-region failover for critical services | Run regional outage game days,NIST CP-10; NIST CP-2; ISO22301 8.4,Risk signal (Strong): OUTAGE_CLOUD_REGION affecting cloud in Cloud Infrastructure. Evidence window: 2025-10-20 to 2025-10-20 across 8 source(s). Representative sources: Outage at Amazon cloud service unit causes major disruption - dw.com | Outage at Amazon cloud service unit causes major disruption - dw.com
605610aa-7810-453d-b8c0-c6c51314c04d,2026-03-18,10,RISK-OUTAGE_CLOUD_REGION-CLOUD-B5107001,CL-000082,OUTAGE_CLOUD_REGION,cloud,Cloud region outage disrupts hosted workloads,Technology,Cloud Infrastructure,25,5,5,Strong,High,True,INC-0005,Implement multi-region failover for critical services | Run regional outage game days,NIST CP-10; NIST CP-2; ISO22301 8.4,Risk signal (Strong): OUTAGE_CLOUD_REGION affecting cloud in Cloud Infrastructure. Evidence window: 2025-10-20 to 2025-10-20 across 8 source(s). Representative sources: An Amazon outage has rattled the internet. A computer scientist explains why the ‘cloud’ needs to change - The Conversation | An Amazon outage has rattled the internet. A computer scientist explains why the ‘cloud’ needs to change - The Conversation
