cluster_id,incident_title,event_type,business_function,primary_asset,scenario_title,scenario_statement,operational_impact,recovery_focus,evidence_count,evidence_strength,testing_candidate_flag,documentation_update_flag,runbook_review_flag,last_updated,likelihood,impact,similarity,final_score
CL-000073,AWS Outage Highlights Cloud Dependency Risks in Supply Chains - Logistics Viewpoints,OUTAGE_CLOUD_REGION,Distribution Operations,cloud,Cloud regional outage disrupts hosted services,"If OUTAGE_CLOUD_REGION occurs affecting cloud, applications hosted in the region become unavailable.",Applications hosted in the region become unavailable,"Failover to alternate region, restore services, validate connectivity",1,Weak,True,True,True,2026-04-28T15:39:17.285733,1,4,4,16
CL-000086,TRACKING RANSOMWARE : OCTOBER 2025 - cyfirma,SECURITY_RANSOMWARE,Cybersecurity,UNKNOWN,Ransomware disrupts operations and recovery capability,"If SECURITY_RANSOMWARE occurs affecting UNKNOWN, systems become unavailable, operations halt, recovery timelines increase.","Systems become unavailable, operations halt, recovery timelines increase","Restore from backup, validate integrity, rebuild systems, isolate network",1,Weak,True,True,True,2026-04-28T15:39:17.299069,1,5,3,15
CL-000025,No title available,SECURITY_RANSOMWARE,Security Operations,UNKNOWN,Ransomware disrupts operations and recovery capability,"If SECURITY_RANSOMWARE occurs affecting UNKNOWN, systems become unavailable, operations halt, recovery timelines increase.","Systems become unavailable, operations halt, recovery timelines increase","Restore from backup, validate integrity, rebuild systems, isolate network",1,Weak,True,True,True,2026-04-28T15:39:17.260765,1,5,3,15
CL-000062,The Fight Against Ransomware Heats Up on the Factory Floor - Dark Reading,SECURITY_RANSOMWARE,Cybersecurity,UNKNOWN,Ransomware disrupts operations and recovery capability,"If SECURITY_RANSOMWARE occurs affecting UNKNOWN, systems become unavailable, operations halt, recovery timelines increase.","Systems become unavailable, operations halt, recovery timelines increase","Restore from backup, validate integrity, rebuild systems, isolate network",1,Weak,True,True,True,2026-04-28T15:39:17.280643,1,5,3,15
CL-000061,"Asahi Group Holdings Ransomware Attack 2025: Digital Order System Disrupted, Nationwide Beer Shortage in Japan - Rescana",SECURITY_RANSOMWARE,Cybersecurity,systems,Ransomware disrupts operations and recovery capability,"If SECURITY_RANSOMWARE occurs affecting systems, systems become unavailable, operations halt, recovery timelines increase.","Systems become unavailable, operations halt, recovery timelines increase","Restore from backup, validate integrity, rebuild systems, isolate network",1,Weak,True,True,True,2026-04-28T15:39:17.280150,1,5,3,15
CL-000145,Top 10 ransomware targets by industry - TechTarget,SECURITY_RANSOMWARE,Cybersecurity,UNKNOWN,Ransomware disrupts operations and recovery capability,"If SECURITY_RANSOMWARE occurs affecting UNKNOWN, systems become unavailable, operations halt, recovery timelines increase.","Systems become unavailable, operations halt, recovery timelines increase","Restore from backup, validate integrity, rebuild systems, isolate network",1,Weak,True,True,True,2026-04-28T15:39:17.330155,1,5,3,15
CL-000109,"Ransomware surge intensifies across industrial sectors, with manufacturing accounting for 72% of Q3 cases - Industrial Cyber",SECURITY_RANSOMWARE,Cybersecurity,UNKNOWN,Ransomware disrupts operations and recovery capability,"If SECURITY_RANSOMWARE occurs affecting UNKNOWN, systems become unavailable, operations halt, recovery timelines increase.","Systems become unavailable, operations halt, recovery timelines increase","Restore from backup, validate integrity, rebuild systems, isolate network",1,Weak,True,True,True,2026-04-28T15:39:17.311701,1,5,3,15
CL-000169,Expanding ransomware reach intensifies sector-wide cyber exposure - Insurance Business,SECURITY_RANSOMWARE,Cybersecurity,UNKNOWN,Ransomware disrupts operations and recovery capability,"If SECURITY_RANSOMWARE occurs affecting UNKNOWN, systems become unavailable, operations halt, recovery timelines increase.","Systems become unavailable, operations halt, recovery timelines increase","Restore from backup, validate integrity, rebuild systems, isolate network",1,Weak,True,True,True,2026-04-28T15:39:17.342124,1,5,3,15
CL-000142,Azure outage disrupts VMs and identity services for over 10 hours - Network World,OUTAGE_IDENTITY,Cloud Infrastructure,identity,Identity service outage disrupts workforce access,"If OUTAGE_IDENTITY occurs affecting identity, users cannot access systems, operations slow or stop.","Users cannot access systems, operations slow or stop","Restore identity services, enable break-glass access, validate authentication paths",1,Weak,True,True,True,2026-04-28T15:39:17.328729,1,5,3,15
CL-000066,"Amazon cloud computing outage disrupts Snapchat, Ring and many other online services - PBS",OUTAGE_CLOUD_REGION,Cloud Infrastructure,cloud,Cloud regional outage disrupts hosted services,"If OUTAGE_CLOUD_REGION occurs affecting cloud, applications hosted in the region become unavailable.",Applications hosted in the region become unavailable,"Failover to alternate region, restore services, validate connectivity",1,Weak,True,True,True,2026-04-28T15:39:17.282639,1,4,3,12
CL-000075,Amazon says AWS cloud service back to normal after outage disrupts businesses worldwide - Reuters,OUTAGE_CLOUD_REGION,Cloud Infrastructure,cloud,Cloud regional outage disrupts hosted services,"If OUTAGE_CLOUD_REGION occurs affecting cloud, applications hosted in the region become unavailable.",Applications hosted in the region become unavailable,"Failover to alternate region, restore services, validate connectivity",1,Weak,True,True,True,2026-04-28T15:39:17.286715,1,4,3,12
CL-000122,No title available,OUTAGE_CLOUD_REGION,Cloud Infrastructure,cloud,Cloud regional outage disrupts hosted services,"If OUTAGE_CLOUD_REGION occurs affecting cloud, applications hosted in the region become unavailable.",Applications hosted in the region become unavailable,"Failover to alternate region, restore services, validate connectivity",1,Weak,True,True,True,2026-04-28T15:39:17.318489,1,4,3,12
