risk_id,cluster_id,title,generated_at
RISK-OUTAGE_CLOUD_REGION-CLOUD-B5107001,CL-000059,Cloud region outage disrupts hosted workloads,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-APPLICATIONS-3B65C7AF,CL-000060,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-SECURITY_RANSOMWARE-SYSTEMS-86771980,CL-000050,Ransomware disrupts operations and recovery capabilities,2026-04-28T15:39:18
RISK-OUTAGE_IDENTITY-LOGIN-1EAC82FB,CL-000192,Centralized identity/SSO outage disrupts workforce access,2026-04-28T15:39:18
RISK-OUTAGE_CLOUD_REGION-CLOUD-D84B5CE9,CL-000204,Cloud region outage disrupts hosted workloads,2026-04-28T15:39:18
RISK-OUTAGE_IDENTITY-LOGIN-1EAC82FB,CL-000207,Centralized identity/SSO outage disrupts workforce access,2026-04-28T15:39:18
RISK-OUTAGE_IDENTITY-AUTHENTICATION-C4423542,CL-000208,Centralized identity/SSO outage disrupts workforce access,2026-04-28T15:39:18
RISK-SECURITY_RANSOMWARE-UNKNOWN-B3810008,CL-000026,Ransomware disrupts operations and recovery capabilities,2026-04-28T15:39:18
RISK-OUTAGE_CLOUD_REGION-CLOUD-B5107001,CL-000065,Cloud region outage disrupts hosted workloads,2026-04-28T15:39:18
RISK-OUTAGE_CLOUD_REGION-CLOUD-B5107001,CL-000072,Cloud region outage disrupts hosted workloads,2026-04-28T15:39:18
RISK-OUTAGE_NETWORK-NETWORK-29A3FACF,CL-000091,Network outage disrupts connectivity to critical services,2026-04-28T15:39:18
RISK-SECURITY_RANSOMWARE-UNKNOWN-B3810008,CL-000096,Ransomware disrupts operations and recovery capabilities,2026-04-28T15:39:18
RISK-OUTAGE_NETWORK-NETWORK-ED8652FB,CL-000114,Network outage disrupts connectivity to critical services,2026-04-28T15:39:18
RISK-OUTAGE_NETWORK-NETWORK-ED8652FB,CL-000115,Network outage disrupts connectivity to critical services,2026-04-28T15:39:18
RISK-OUTAGE_IDENTITY-IDENTITY-18AA8247,CL-000126,Centralized identity/SSO outage disrupts workforce access,2026-04-28T15:39:18
RISK-SECURITY_RANSOMWARE-UNKNOWN-B3810008,CL-000155,Ransomware disrupts operations and recovery capabilities,2026-04-28T15:39:18
RISK-OUTAGE_CLOUD_REGION-CLOUD-B5107001,CL-000183,Cloud region outage disrupts hosted workloads,2026-04-28T15:39:18
RISK-OUTAGE_NETWORK-NETWORK-C79A7C5B,CL-000211,Network outage disrupts connectivity to critical services,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-APPLICATIONS-2C0420ED,CL-000014,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-APPLICATIONS-3B65C7AF,CL-000020,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-APPLICATIONS-A3946B09,CL-000024,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-APPLICATIONS-7886056C,CL-000028,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-OUTAGE_NETWORK-NETWORK-ED8652FB,CL-000029,Network outage disrupts connectivity to critical services,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-APPLICATIONS-7886056C,CL-000030,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-APPLICATIONS-7886056C,CL-000032,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-SYSTEMS-9187E752,CL-000035,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-OUTAGE_NETWORK-NETWORK-ED8652FB,CL-000036,Network outage disrupts connectivity to critical services,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-APPLICATIONS-A3946B09,CL-000045,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-APPLICATIONS-2C0420ED,CL-000048,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-APPLICATIONS-2C0420ED,CL-000049,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-SECURITY_RANSOMWARE-UNKNOWN-B3810008,CL-000051,Ransomware disrupts operations and recovery capabilities,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-APPLICATIONS-2C0420ED,CL-000052,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-OUTAGE_NETWORK-NETWORK-ED8652FB,CL-000053,Network outage disrupts connectivity to critical services,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-APPLICATIONS-3B65C7AF,CL-000054,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-OUTAGE_CLOUD_REGION-CLOUD-B5107001,CL-000056,Cloud region outage disrupts hosted workloads,2026-04-28T15:39:18
RISK-OUTAGE_CLOUD_REGION-CLOUD-B5107001,CL-000057,Cloud region outage disrupts hosted workloads,2026-04-28T15:39:18
RISK-OUTAGE_CLOUD_REGION-CLOUD-B5107001,CL-000058,Cloud region outage disrupts hosted workloads,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-APPLICATIONS-2C0420ED,CL-000061,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-APPLICATIONS-3B65C7AF,CL-000066,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-APPLICATIONS-3B65C7AF,CL-000067,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-SECURITY_BREACH-UNKNOWN-3FD148F9,CL-000075,Third-party breach increases data exposure and compliance risk,2026-04-28T15:39:18
RISK-SECURITY_RANSOMWARE-UNKNOWN-B3810008,CL-000077,Ransomware disrupts operations and recovery capabilities,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-APPLICATIONS-3B65C7AF,CL-000078,Critical application outage disrupts business operations,2026-04-28T15:39:18
RISK-OUTAGE_APPLICATION-APPLICATIONS-A3946B09,CL-000081,Critical application outage disrupts business operations,2026-04-28T15:39:18
