evidence_id,profile_id,search_query,source_type,publisher,title,published_date,ingested_date,url,normalized_title,raw_snippet,normalized_snippet,event_keywords,asset_keywords,entity_keywords,business_function_hint,event_type_hint,recency_days,is_duplicate_flag,relevance_score
EV-22FF15159D,SP-001,warehouse management system outage,news,GetTransport.com,Degraded AWS Service in UAE Disrupts Regional Cloud and Logistics Operations - GetTransport.com,2026-03-18,2026-03-19T00:02:59+00:00,https://news.google.com/rss/articles/CBMieEFVX3lxTE93MGhJN0RfUURHLWY0RjU5WmpRQTFjbVpFXzc4b1FZc1pkalRuVGQ4aTZHQm1GUzhHTnFfaWl3Tzh6ajBDMW5LUmRoZEZ4Y2pXUWNtck1weC1Qd1NBTi1fVGpQOG4xYmNsMFBORWdBa3F4QTlvVDlVTg?oc=5,degraded aws service in uae disrupts regional cloud and logistics operations gettransport com,Degraded AWS Service in UAE Disrupts Regional Cloud and Logistics Operations GetTransport.com,degraded aws service in uae disrupts regional cloud and logistics operations gettransport com,,cloud,,Distribution Operations,UNKNOWN,0,False,0.25
EV-408A067684,SP-001,warehouse management system outage,news,Logistics Viewpoints,AWS Outage Highlights Cloud Dependency Risks in Supply Chains - Logistics Viewpoints,2025-10-21,2026-03-19T00:02:59+00:00,https://news.google.com/rss/articles/CBMiqAFBVV95cUxNSWlCSnh2WWtpMncyb0tCV044MzBhMk5uclhGY2p5MmtyWFZabEx3cm1wNEJUTExNQnNYRlBCUnBlTUM2MUNCUlZqWnJSZVcyM0ZpUmVyWTRTSlMyd3gwcV8tZnd4WVdXbU0zU0FpYUZXQUh3OXZzU1BXSllUd1FkTFVXZXNlWTB1TnBrcUFLVFVhOTg2RTdhcDdqN0pBTzBaX2JVdkJ6RVY?oc=5,aws outage highlights cloud dependency risks in supply chains logistics viewpoints,AWS Outage Highlights Cloud Dependency Risks in Supply Chains Logistics Viewpoints,aws outage highlights cloud dependency risks in supply chains logistics viewpoints,outage,cloud,,Distribution Operations,OUTAGE_CLOUD_REGION,148,False,0.7
EV-AD7E9981D4,SP-001,warehouse management system outage,news,Cargo Airports & Airline Services,"CEVA Logistics adds Manhattan WMS, OMS to global warehouse innovation initiative - Cargo Airports & Airline Services",2025-10-08,2026-03-19T00:02:59+00:00,https://news.google.com/rss/articles/CBMiogFBVV95cUxNOXBVREcxaDdVeUR3ZXFKd2dJdlRDRUV0d25uQjAta21Ba2RNYlF1ZnA0eXQ1RnJpZEVaOU1qQ3ExUEx2anVQQnZEM3J3QURGdlNWR18zdjlyVFN1UEpoTkdpUTVBWjlKQlVyQm13VTZqRnR1RXpFdHl3bmZhVXVLbWU2cE9UWE9jeGs0cG1OMTJPa1BjbHg1VS1UcmNSNW4zSHc?oc=5,ceva logistics adds manhattan wms oms to global warehouse innovation initiative cargo airports airline services,"CEVA Logistics adds Manhattan WMS, OMS to global warehouse innovation initiative Cargo Airports & Airline Services",ceva logistics adds manhattan wms oms to global warehouse innovation initiative cargo airports airline services,,wms,,Distribution Operations,UNKNOWN,161,False,0.5
EV-322E1C109F,SP-001,warehouse management system outage,news,Supply Chain Brain,When Supply Chain Network Resilience Becomes Essential - Supply Chain Brain,2025-07-14,2026-03-19T00:02:59+00:00,https://news.google.com/rss/articles/CBMiuAFBVV95cUxPMzdTRDR4TTk3N2VqRGVlYmxxUy1hVU51c2x4N0NfVmpyamZxU2d1WWxPU29LOU9CWC1aTDB4ZWNyclREbGhyY2RqNE9hYlNFY0laaE5HaFpVYzlpOXdNVm5EMzdLTTJVWTFOeHpBLXFEWkdyU0ZJY3l4a0hwTEVhZkpBUm5xYnpWOFctckxXVXFtNVU2N05CSEpsUWZFSkE1eldxNGRJRm1jMjg5ZTJjUmtpR3dmdXlj?oc=5,when supply chain network resilience becomes essential supply chain brain,When Supply Chain Network Resilience Becomes Essential Supply Chain Brain,when supply chain network resilience becomes essential supply chain brain,,network,,Distribution Operations,UNKNOWN,247,False,0.15
EV-DA5F750C0D,SP-001,warehouse management system outage,news,Oracle NetSuite,5 Ways to Overcome Supply Chain Disruptions - Oracle NetSuite,2025-09-09,2026-03-19T00:02:59+00:00,https://news.google.com/rss/articles/CBMilgFBVV95cUxNOEFSQmFhNUhNNWRzUHZJblpGVFFOZnNNRlh2R3VfOXdyb01mMFR5ems2N3VGSUoweFBLYnZIblNBQXkzT18xVzhOUTVpMTBKakFYX1o5SDQ1ZXo5Z0YzcnA1TDFHd2Z1ZWd6MkMwSTNiaEVqOUZqNjVNR3hydi1VX2V0QklVVkI0MXdhRHQtODRDNG9qQVE?oc=5,5 ways to overcome supply chain disruptions oracle netsuite,5 Ways to Overcome Supply Chain Disruptions Oracle NetSuite,5 ways to overcome supply chain disruptions oracle netsuite,,,,Distribution Operations,UNKNOWN,190,False,0.0
EV-C6FE05F8CA,SP-001,warehouse management system outage,news,Microsoft,"PepsiCo reduces downtime and costs, cuts device build time by 50% with Intune - Microsoft",2025-10-24,2026-03-19T00:02:59+00:00,https://news.google.com/rss/articles/CBMigAFBVV95cUxOcU9ma0JZaWo0SVdINVhDVS1SN2FRbDlLbTl4WVhkMDlEbUNhQWVwTlh4eTRGekpheVhwU0RHek1ud0dWdkM4VUNleDdFcmE0MlZKa0FDZXBKSEVZQUNIOXFXU2hfb2lnb0hXSXVGcXFQU19wSk9VdXBxajhsUEN5bA?oc=5,pepsico reduces downtime and costs cuts device build time by 50 with intune microsoft,"PepsiCo reduces downtime and costs, cuts device build time by 50% with Intune Microsoft",pepsico reduces downtime and costs cuts device build time by 50 with intune microsoft,downtime,,,Distribution Operations,OUTAGE_APPLICATION,145,False,0.3
EV-1FD5022EBC,SP-001,warehouse management system outage,news,Global Trade Magazine,$500 Million Lost to Outages: Why Logistics Tech Can’t Afford to Blink - Global Trade Magazine,2025-05-12,2026-03-19T00:02:59+00:00,https://news.google.com/rss/articles/CBMioAFBVV95cUxQdzJDdnFhN2ZvenI3ZTNNVjZlTTNPay1PSWZaWl9vU0Z1dzVFU19oM3RaZlpfSVA4T2xOMC02UlEzbkpTT0lvVURNUVBiYUszVGNSUkpQOFRBX0NBT0R3dWtPNm5HaHdfUVBxdS1uVl94VXhPd0RnSUg2WVFOeUYtUDhJLTZyZTdMQ2NwdElPejlpWjE5Yk1OQWpZQ1FrcVY5?oc=5,500 million lost to outages why logistics tech can t afford to blink global trade magazine,$500 Million Lost to Outages: Why Logistics Tech Can’t Afford to Blink Global Trade Magazine,500 million lost to outages why logistics tech can t afford to blink global trade magazine,,,,Distribution Operations,UNKNOWN,310,False,0.0
EV-557772EAF4,SP-001,warehouse management system outage,news,cio.com,"18 famous ERP disasters, dustups, and disappointments - cio.com",2025-07-03,2026-03-19T00:02:59+00:00,https://news.google.com/rss/articles/CBMivAFBVV95cUxPUWFFUHN3SjB3MVctM3RqU2EzenJxYzJNeVBaRjhCZlBFYXBQTW5JbzNGaHJ5ZG1qTnRMaGo5SjFWZC1VVGFFVkNqLWhpZDU4TGZVc1ZmSlZwelkzYWdtWXZrdF9mY2szRkdUME1mXzd5OXVpeWp6Zm56YlF3RFNtTmlMbGtLYUV4TllKWEVYc3lKZlFuRHF0NGJLSjYzY3BQR2pWeE9pd2RjWm1hOTRWVWFwNjlCN2lwS3k4Xw?oc=5,18 famous erp disasters dustups and disappointments cio com,"18 famous ERP disasters, dustups, and disappointments cio.com",18 famous erp disasters dustups and disappointments cio com,,erp,,Distribution Operations,UNKNOWN,258,False,0.15
EV-979ED9C191,SP-001,warehouse management system outage,news,Talking Logistics with Adrian Gonzalez,Blue Yonder Cyberattack: How Prepared Are You If Your TMS or WMS Goes Down? - Talking Logistics with Adrian Gonzalez,2024-11-26,2026-03-19T00:02:59+00:00,https://news.google.com/rss/articles/CBMitAFBVV95cUxPa2d2X3FNOF9xVUhkRWZsM2FWZnY3Y19HOS1TOUZlcGlYUjVFdDRYWndrYVFfREM2Q0dxZEFZMHhaU0dBa0dna2ZaUFNVTWlLdUZOTlM2MVNURmswNlBpbl9zd3hCbXdyWlhralhoY0xIV3RmZnhRZDBtVEUxRG1XajJQWm1TblBCNk1Oa3lzM1YtLVJPTGJwR1RwM09YdzY0VkdZNzZHcHFYMnl6QkZCQ2N3Mkk?oc=5,blue yonder cyberattack how prepared are you if your tms or wms goes down talking logistics with adrian gonzalez,Blue Yonder Cyberattack: How Prepared Are You If Your TMS or WMS Goes Down? Talking Logistics with Adrian Gonzalez,blue yonder cyberattack how prepared are you if your tms or wms goes down talking logistics with adrian gonzalez,,wms,,Distribution Operations,UNKNOWN,477,False,0.15
EV-B485D27EE2,SP-001,warehouse management system outage,news,TechTarget,12 notable ERP implementation failures and why they failed - TechTarget,2025-06-04,2026-03-19T00:02:59+00:00,https://news.google.com/rss/articles/CBMijgFBVV95cUxQWmJaUnF2LWFjbU9jaFNIZEhJZzNjWEh3NmwwX2J3SkY2d1hGM0Y3YjdoZHFSLUxTU0hhV1NhdkEyOE8wd1BWa3JjSDBOT1lUX1E1VHBzWHBUS0xqLW9GWldWN2xOV2NIdzIzeFcxYVRzUUl3TDJHR0ZBZ0ViYUk2aTVpU0ljcy14MlJDV3h3?oc=5,12 notable erp implementation failures and why they failed techtarget,12 notable ERP implementation failures and why they failed TechTarget,12 notable erp implementation failures and why they failed techtarget,,erp,,Distribution Operations,UNKNOWN,287,False,0.15
