rank,risk_id,cluster_id,title,risk_category,business_function,event_type,primary_asset_or_service,score_used,likelihood_used,impact_used,risk_score_baseline,risk_score_adjusted,evidence_strength,confidence,internal_signals_used,internal_outage_refs,recommended_actions_top,framework_mapping,executive_summary,impact_narrative,evidence_count,start_date,end_date,publishers,urls_sample,impact_keywords,entity_summary,cluster_summary
1,RISK-SECURITY_RANSOMWARE-SYSTEMS-86771980,CL-000043,Ransomware disrupts operations and recovery capabilities,Cyber,Cybersecurity,SECURITY_RANSOMWARE,systems,15,3,5,10,15,Weak,High,True,INC-0006,Harden privileged access | Immutable backups + frequent restore testing,NIST IR-4; NIST CP-9; NIST AC-2,"Risk signal (Weak): SECURITY_RANSOMWARE affecting systems in Cybersecurity. Evidence window: 2025-10-08 to 2025-10-08 across 1 source(s). Representative sources: Asahi Group Holdings Ransomware Attack 2025: Digital Order System Disrupted, Nationwide Beer Shortage in Japan - Rescana","SECURITY_RANSOMWARE affecting systems can disrupt Cybersecurity, causing operational delays and recovery complications.",1,2025-10-08,2025-10-08,Rescana,https://news.google.com/rss/articles/CBMixgFBVV95cUxQNElqVjJiSGxRVW01Y1VrUTlLRkFBZksxb0Q2Tkoyd2xONFIxUWFybzJSX2pCZTRPN0VPWEFRYThqRjR2WEc1Z2pDZVRKaFpfRmtnbU9LSmQxd2ZpQ3Z6TVNUUXVueWlDTzdhQmhoZ0gyT3pBWHgwX1lsdlpFcENLLUJua2hxSDMyUHVuYnNqWV9sNGpkR1ZYT2QtTDJUUlV0R3p2WS16a3ZnQllRSjBrZzlmT2M5QzRBbFpnQkFHNE1VSGlDcnc?oc=5,ransomware,,SECURITY_RANSOMWARE affecting systems in Cybersecurity.
2,RISK-OUTAGE_NETWORK-NETWORK-ED8652FB,CL-000047,Network outage disrupts connectivity to critical services,Technology,Network Infrastructure,OUTAGE_NETWORK,network,15,3,5,8,15,Weak,High,True,INC-0004,Increase network redundancy | Improve failover testing,NIST CP-2; NIST SC-5; ISO22301 8.4,Risk signal (Weak): OUTAGE_NETWORK affecting network in Network Infrastructure. Evidence window: 2025-10-13 to 2025-10-13 across 1 source(s). Representative sources: Verizon Wireless Network Outage Affects a Number of U.S. Cities - Inside Towers,"OUTAGE_NETWORK affecting network can disrupt Network Infrastructure, causing operational delays and recovery complications.",1,2025-10-13,2025-10-13,Inside Towers,https://news.google.com/rss/articles/CBMikgFBVV95cUxOdnVSSE1vOVRCUU94ZDNpNGhETV9rb0pYNGtvNUNPNTViVFpZek0wN2pSQ041LVBGSEs3U2VXWFVySHFFd0RLUXBJT3lCVkM0enZUQUJRWGcyRjdxdk41Slh3VGZSY2VRLXNDRWtHeU9HZGJtQmpsNnBrU1FJUlo5QThsYmlJeFppNmh0Z1FDNVNlZw?oc=5,outage,,OUTAGE_NETWORK affecting network in Network Infrastructure.
3,RISK-OUTAGE_CLOUD_REGION-CLOUD-B5107001,CL-000061,Cloud region outage disrupts hosted workloads,Technology,Cloud Infrastructure,OUTAGE_CLOUD_REGION,cloud,15,3,5,8,15,Weak,High,True,INC-0005,Implement multi-region failover for critical services | Run regional outage game days,NIST CP-10; NIST CP-2; ISO22301 8.4,Risk signal (Weak): OUTAGE_CLOUD_REGION affecting cloud in Cloud Infrastructure. Evidence window: 2025-10-21 to 2025-10-21 across 1 source(s). Representative sources: Amazon says AWS cloud service back to normal after outage disrupts businesses worldwide - Reuters,"OUTAGE_CLOUD_REGION affecting cloud can disrupt Cloud Infrastructure, causing operational delays and recovery complications.",1,2025-10-21,2025-10-21,Reuters,https://news.google.com/rss/articles/CBMitwFBVV95cUxOeE4ycmlacV9XMzUzeE83dnZlcUV4c3RBNXJkMlhkSUxaTmhKQjNyV0dDbTJWRW9nUE8teU1MczY0dTZKUFVkSW9jNnJHVVFlQkhQNklXNlV0bkx1dy1STk9lZjM0ZE1JMVFnbmdzdGltRU1Wd21Nbm9GUDFqZmhpWmJGaER4ZGRxOFNfYzNvNmN6ZEFZYTdJVkdsdjRDbWZnRHlhbmh1NXpjdzFuNjBLeldkd3ZramM?oc=5,outage,,OUTAGE_CLOUD_REGION affecting cloud in Cloud Infrastructure.
4,RISK-SECURITY_RANSOMWARE-UNKNOWN-B3810008,CL-000102,Ransomware disrupts operations and recovery capabilities,Cyber,Cybersecurity,SECURITY_RANSOMWARE,UNKNOWN,15,3,5,10,15,Weak,High,True,INC-0006,Harden privileged access | Immutable backups + frequent restore testing,NIST IR-4; NIST CP-9; NIST AC-2,"Risk signal (Weak): SECURITY_RANSOMWARE affecting UNKNOWN in Cybersecurity. Evidence window: 2025-12-11 to 2025-12-11 across 1 source(s). Representative sources: Ransomware surge intensifies across industrial sectors, with manufacturing accounting for 72% of Q3 cases - Industrial Cyber","SECURITY_RANSOMWARE affecting UNKNOWN can disrupt Cybersecurity, causing operational delays and recovery complications.",1,2025-12-11,2025-12-11,Industrial Cyber,https://news.google.com/rss/articles/CBMi4AFBVV95cUxQcTFid1ZqV0dWajdoT0xDQW9teWtzdWhkV003QzRPb0xpS2lCX3FKWVc0VmtmMENwZ0NGRjRfWUdNTmRqNHlvaEhrbm1IV3JBMGFRQkxhX0VoOVZ4N1gxdG10X3lPYmVDemgybXU0d2ZoTldDMEhIN2ZsM2RzcjcwSUNoNldvYnFwZXZaMldCS0xZU256OWZwTnJLdmdTeVFkVV9OWDNLSm5QSVBwSzZVM3VZNnJWUXR0TmpaZmc3S3JqUnpxN21HaGotOVZFR0xXOUZTc3h5TWU0X2Npd2pKUA?oc=5,ransomware,,SECURITY_RANSOMWARE affecting UNKNOWN in Cybersecurity.
5,RISK-OUTAGE_CLOUD_REGION-CLOUD-B5107001,CL-000112,Cloud region outage disrupts hosted workloads,Technology,Cloud Infrastructure,OUTAGE_CLOUD_REGION,cloud,15,3,5,8,15,Weak,High,True,INC-0005,Implement multi-region failover for critical services | Run regional outage game days,NIST CP-10; NIST CP-2; ISO22301 8.4,Risk signal (Weak): OUTAGE_CLOUD_REGION affecting cloud in Cloud Infrastructure. Evidence window: 2026-01-14 to 2026-01-14 across 1 source(s). Representative sources: The Blast Radius Problem: What the 2025 AWS Outage Reveals About Healthcare’s Cloud Fragility - MedCity News,"OUTAGE_CLOUD_REGION affecting cloud can disrupt Cloud Infrastructure, causing operational delays and recovery complications.",1,2026-01-14,2026-01-14,MedCity News,https://news.google.com/rss/articles/CBMiwgFBVV95cUxPV2dfcWRyaTdzeWI0bkM1bENjOV9qT1VzdzZKZzhWaHpSZWw0cnBsUXZ5bUo3YXAzdzNWS0F2dlo3Q2cyblBkQUZCdW43T2NBVHhtSld2Q3pxdlFTSVd3ZzZXMDZRd01FUVFTSGRTd01uZ2RPVThVUEtzRlItbGZKVlJ1SmkzQTBhbl9MOUNHSGVvaW83Z3NOZ0FaVG9vRUFSSWptYjNGUWlCV0oxNm4xLVUtMXZTcmNpZmVWNWQ2c2NtUQ?oc=5,outage,,OUTAGE_CLOUD_REGION affecting cloud in Cloud Infrastructure.
6,RISK-SECURITY_RANSOMWARE-UNKNOWN-B3810008,CL-000117,Ransomware disrupts operations and recovery capabilities,Cyber,Cybersecurity,SECURITY_RANSOMWARE,UNKNOWN,15,3,5,10,15,Weak,High,True,INC-0006,Harden privileged access | Immutable backups + frequent restore testing,NIST IR-4; NIST CP-9; NIST AC-2,Risk signal (Weak): SECURITY_RANSOMWARE affecting UNKNOWN in Cybersecurity. Evidence window: 2026-01-16 to 2026-01-16 across 1 source(s). Representative sources: Ransomware Attacks and Supply Chain Threats in 2025 - Cyble,"SECURITY_RANSOMWARE affecting UNKNOWN can disrupt Cybersecurity, causing operational delays and recovery complications.",1,2026-01-16,2026-01-16,Cyble,https://news.google.com/rss/articles/CBMifEFVX3lxTE1nd3FXR2xudE12X2dzODV2LWJVOVEtWkhsWUkxM3dEcDJYbVVGSjROT0YwYTdzTXZaNndRM213ZGQ5Y3E0bGdHb3ZMWjRfQzY5cjFDeHIyMnlzNFViUVFxM2RiY2ZzWVdiWFYwODhvLTBER184SlRVcng4Q2fSAXxBVV95cUxNZ3dxV0dsbnRNdl9nczg1di1iVTlRLVpIbFlJMTN3RHAyWG1VRko0Tk9GMGE3c012WjZ3UTNtd2RkOWNxNGxnR292TFo0X0M2OXIxQ3hyMjJ5czRVYlFRcTNkYmNmc1lXYlhWMDg4by0wREdfOEpUVXJ4OENn?oc=5,ransomware,,SECURITY_RANSOMWARE affecting UNKNOWN in Cybersecurity.
7,RISK-OUTAGE_NETWORK-NETWORK-ED8652FB,CL-000121,Network outage disrupts connectivity to critical services,Technology,Network Infrastructure,OUTAGE_NETWORK,network,15,3,5,8,15,Weak,High,True,INC-0004,Increase network redundancy | Improve failover testing,NIST CP-2; NIST SC-5; ISO22301 8.4,Risk signal (Weak): OUTAGE_NETWORK affecting network in Network Infrastructure. Evidence window: 2026-01-20 to 2026-01-20 across 1 source(s). Representative sources: Verizon outage: Analysts and more weigh in - Fierce Network,"OUTAGE_NETWORK affecting network can disrupt Network Infrastructure, causing operational delays and recovery complications.",1,2026-01-20,2026-01-20,Fierce Network,https://news.google.com/rss/articles/CBMihAFBVV95cUxOXzRGZjdYTHNqcU1WOGdhSHgtWngxNmc2MTgxT0ltTGpETVZINjdjWU1paDhJOXFsckp5ZXlWTzdjS0JCbDI1ZF9CajV0MXU3Y0ZNU0pMbjV2Z2N3VWduUk5odlRSXzZSV1NnVzFmUkZaQVpINFM1eHotS2ZDalRrTTlrOFA?oc=5,outage,,OUTAGE_NETWORK affecting network in Network Infrastructure.
8,RISK-OUTAGE_IDENTITY-LOGIN-1EAC82FB,CL-000127,Centralized identity/SSO outage disrupts workforce access,Technology,Identity & Access Management,OUTAGE_IDENTITY,login,15,3,5,8,15,Weak,High,True,INC-0001,Implement break-glass access for critical systems | Add synthetic login monitoring,NIST IA-2; NIST CP-2; ISO22301 8.4,Risk signal (Weak): OUTAGE_IDENTITY affecting login in Identity & Access Management. Evidence window: 2026-01-31 to 2026-01-31 across 1 source(s). Representative sources: ING Online Banking Outage: January 31 Login Issues Hit German Users - Meyka,"OUTAGE_IDENTITY affecting login can disrupt Identity & Access Management, causing operational delays and recovery complications.",1,2026-01-31,2026-01-31,Meyka,https://news.google.com/rss/articles/CBMimwFBVV95cUxQSFhUUFhaSnRKaW14V2x5Z2xNOHg5WHdNQXUxNDVNMFgybnIycjR3blU2MU9ZV21SSUFaNzlOR0dxeUJISm9YdEhHSzJIQjE2M3NjbEJleDFxc3B3WTNkcHhFSUZQWVF6b01KQjlOX3hiaElKQmhUNUF2a004Z1Y4UFFZYzFRZVVyUUNTU2c0RngwU1hsT2Rmd1Faaw?oc=5,outage,,OUTAGE_IDENTITY affecting login in Identity & Access Management.
9,RISK-OUTAGE_IDENTITY-IDENTITY-18AA8247,CL-000130,Centralized identity/SSO outage disrupts workforce access,Technology,Cloud Infrastructure,OUTAGE_IDENTITY,identity,15,3,5,8,15,Weak,High,True,INC-0005,Implement break-glass access for critical systems | Add synthetic login monitoring,NIST IA-2; NIST CP-2; ISO22301 8.4,Risk signal (Weak): OUTAGE_IDENTITY affecting identity in Cloud Infrastructure. Evidence window: 2026-02-04 to 2026-02-04 across 1 source(s). Representative sources: Azure outage disrupts VMs and identity services for over 10 hours - Network World,"OUTAGE_IDENTITY affecting identity can disrupt Cloud Infrastructure, causing operational delays and recovery complications.",1,2026-02-04,2026-02-04,Network World,https://news.google.com/rss/articles/CBMitgFBVV95cUxPaExYeEtZdk5WZVo3Sl9GYVU0c3c2NTIxYVpEU0t1eFNGTnpnWV9xSjlIVERNNFZpMHJJcDR5NkJDVnhnRnk1ZFFiYXhQdlJOU3UxNnRxQlZ3anV1bE12dUJTdDdZVm1OX0Z2aUtmZ2U5M2laZ3ZYQ2Y4OVZFdE40V0hFa0RtQ083YjZ4R2ZKS0lWWnR6cGNQYTY2eS1qZE5nc04tWjg1TUREOTFXa3M0LXduUmRiZw?oc=5,outage,,OUTAGE_IDENTITY affecting identity in Cloud Infrastructure.
10,RISK-OUTAGE_APPLICATION-SYSTEMS-E09C2A6D,CL-000145,Critical application outage disrupts business operations,Technology,Network Infrastructure,OUTAGE_APPLICATION,systems,15,3,5,8,15,Weak,High,True,INC-0004,Add high-availability design or failover | Improve monitoring and alerting,NIST CP-2; NIST CP-10; ISO22301 8.4,Risk signal (Weak): OUTAGE_APPLICATION affecting systems in Network Infrastructure. Evidence window: 2026-02-27 to 2026-02-27 across 1 source(s). Representative sources: T‑Mobile outage hits T‑Life and internal support systems - findarticles.com | T‑Mobile outage hits T‑Life and internal support systems - findarticles.com,"OUTAGE_APPLICATION affecting systems can disrupt Network Infrastructure, causing operational delays and recovery complications.",1,2026-02-27,2026-02-27,findarticles.com,https://news.google.com/rss/articles/CBMijwFBVV95cUxPNVJ5d0VuRW5pLTAtakM0b2pLWDZzMC1LQzIwR3Mwd3hfcUNTTjUyOENyMVVvWmVOVkJjeFUxYkRDbzBlckMyV0c0a0ZqcTI2YU1sVDRfMEJBWXZDeGJmT3pVWEctZk5jWDE4VEtwRlg2dUs0eHdqQmIxRWY3T05JSGRkRUFiSXYtaEVYMjNrd9IBlwFBVV95cUxOU1hCckRvQTYtejdIcmFJNW1kR0xWVXBXekx3Vks1WFFpZjVCTnpQRnNCb0lwVVZBMEdudE55VUltaEZiTk1jemJQZTNkS1IzZVN1RjBPSHIxMU1LUzc0ck5LUkYwZWZBVG1pUWFVcm45MGJkaF9kUjZEVkliNzVCYUI2RkhqNU9ZS3BfeHdRNmFsckdEU05F?oc=5,outage,,OUTAGE_APPLICATION affecting systems in Network Infrastructure.
