risk_id,cluster_id,evidence_id,published_date,publisher,title,url,source_type,search_query,relevance_score,event_type_hint,entity_keywords,event_keywords,asset_keywords
RISK-OUTAGE_CLOUD_REGION-CLOUD-B5107001,CL-000059,EV-00B19954F2,"evidence_id
EV-00B19954F2    2025-10-20
EV-00B19954F2    2025-10-20
Name: published_date, dtype: str","evidence_id
EV-00B19954F2    AP News
EV-00B19954F2    AP News
Name: publisher, dtype: str","evidence_id
EV-00B19954F2    Massive Amazon cloud outage has been resolved ...
EV-00B19954F2    Massive Amazon cloud outage has been resolved ...
Name: title, dtype: str","evidence_id
EV-00B19954F2    https://news.google.com/rss/articles/CBMinAFBV...
EV-00B19954F2    https://news.google.com/rss/articles/CBMinAFBV...
Name: url, dtype: str","evidence_id
EV-00B19954F2    news
EV-00B19954F2    news
Name: source_type, dtype: str","evidence_id
EV-00B19954F2                         cloud provider outage
EV-00B19954F2    compute service disruption,storage failure
Name: search_query, dtype: str","evidence_id
EV-00B19954F2    0.6
EV-00B19954F2    0.6
Name: relevance_score, dtype: float64","evidence_id
EV-00B19954F2    OUTAGE_CLOUD_REGION
EV-00B19954F2    OUTAGE_CLOUD_REGION
Name: event_type_hint, dtype: str","evidence_id
EV-00B19954F2   NaN
EV-00B19954F2   NaN
Name: entity_keywords, dtype: float64","evidence_id
EV-00B19954F2    outage
EV-00B19954F2    outage
Name: event_keywords, dtype: str","evidence_id
EV-00B19954F2    cloud
EV-00B19954F2    cloud
Name: asset_keywords, dtype: str"
RISK-OUTAGE_CLOUD_REGION-CLOUD-B5107001,CL-000059,EV-00B19954F2,"evidence_id
EV-00B19954F2    2025-10-20
EV-00B19954F2    2025-10-20
Name: published_date, dtype: str","evidence_id
EV-00B19954F2    AP News
EV-00B19954F2    AP News
Name: publisher, dtype: str","evidence_id
EV-00B19954F2    Massive Amazon cloud outage has been resolved ...
EV-00B19954F2    Massive Amazon cloud outage has been resolved ...
Name: title, dtype: str","evidence_id
EV-00B19954F2    https://news.google.com/rss/articles/CBMinAFBV...
EV-00B19954F2    https://news.google.com/rss/articles/CBMinAFBV...
Name: url, dtype: str","evidence_id
EV-00B19954F2    news
EV-00B19954F2    news
Name: source_type, dtype: str","evidence_id
EV-00B19954F2                         cloud provider outage
EV-00B19954F2    compute service disruption,storage failure
Name: search_query, dtype: str","evidence_id
EV-00B19954F2    0.6
EV-00B19954F2    0.6
Name: relevance_score, dtype: float64","evidence_id
EV-00B19954F2    OUTAGE_CLOUD_REGION
EV-00B19954F2    OUTAGE_CLOUD_REGION
Name: event_type_hint, dtype: str","evidence_id
EV-00B19954F2   NaN
EV-00B19954F2   NaN
Name: entity_keywords, dtype: float64","evidence_id
EV-00B19954F2    outage
EV-00B19954F2    outage
Name: event_keywords, dtype: str","evidence_id
EV-00B19954F2    cloud
EV-00B19954F2    cloud
Name: asset_keywords, dtype: str"
RISK-OUTAGE_APPLICATION-APPLICATIONS-3B65C7AF,CL-000060,EV-26EE83D9C1,"evidence_id
EV-26EE83D9C1    2025-10-20
EV-26EE83D9C1    2025-10-20
EV-26EE83D9C1    2025-10-20
Name: published_date, dtype: str","evidence_id
EV-26EE83D9C1    CNBC
EV-26EE83D9C1    CNBC
EV-26EE83D9C1    CNBC
Name: publisher, dtype: str","evidence_id
EV-26EE83D9C1    AWS services recover after daylong outage hits...
EV-26EE83D9C1    AWS services recover after daylong outage hits...
EV-26EE83D9C1    AWS services recover after daylong outage hits...
Name: title, dtype: str","evidence_id
EV-26EE83D9C1    https://news.google.com/rss/articles/CBMikwFBV...
EV-26EE83D9C1    https://news.google.com/rss/articles/CBMikwFBV...
EV-26EE83D9C1    https://news.google.com/rss/articles/CBMikwFBV...
Name: url, dtype: str","evidence_id
EV-26EE83D9C1    news
EV-26EE83D9C1    news
EV-26EE83D9C1    news
Name: source_type, dtype: str","evidence_id
EV-26EE83D9C1                            carrier API outage
EV-26EE83D9C1                         cloud provider outage
EV-26EE83D9C1    compute service disruption,storage failure
Name: search_query, dtype: str","evidence_id
EV-26EE83D9C1    0.45
EV-26EE83D9C1    0.45
EV-26EE83D9C1    0.45
Name: relevance_score, dtype: float64","evidence_id
EV-26EE83D9C1    OUTAGE_APPLICATION
EV-26EE83D9C1    OUTAGE_APPLICATION
EV-26EE83D9C1    OUTAGE_APPLICATION
Name: event_type_hint, dtype: str","evidence_id
EV-26EE83D9C1   NaN
EV-26EE83D9C1   NaN
EV-26EE83D9C1   NaN
Name: entity_keywords, dtype: float64","evidence_id
EV-26EE83D9C1    outage
EV-26EE83D9C1    outage
EV-26EE83D9C1    outage
Name: event_keywords, dtype: str","evidence_id
EV-26EE83D9C1    NaN
EV-26EE83D9C1    NaN
EV-26EE83D9C1    NaN
Name: asset_keywords, dtype: str"
RISK-OUTAGE_APPLICATION-APPLICATIONS-3B65C7AF,CL-000060,EV-26EE83D9C1,"evidence_id
EV-26EE83D9C1    2025-10-20
EV-26EE83D9C1    2025-10-20
EV-26EE83D9C1    2025-10-20
Name: published_date, dtype: str","evidence_id
EV-26EE83D9C1    CNBC
EV-26EE83D9C1    CNBC
EV-26EE83D9C1    CNBC
Name: publisher, dtype: str","evidence_id
EV-26EE83D9C1    AWS services recover after daylong outage hits...
EV-26EE83D9C1    AWS services recover after daylong outage hits...
EV-26EE83D9C1    AWS services recover after daylong outage hits...
Name: title, dtype: str","evidence_id
EV-26EE83D9C1    https://news.google.com/rss/articles/CBMikwFBV...
EV-26EE83D9C1    https://news.google.com/rss/articles/CBMikwFBV...
EV-26EE83D9C1    https://news.google.com/rss/articles/CBMikwFBV...
Name: url, dtype: str","evidence_id
EV-26EE83D9C1    news
EV-26EE83D9C1    news
EV-26EE83D9C1    news
Name: source_type, dtype: str","evidence_id
EV-26EE83D9C1                            carrier API outage
EV-26EE83D9C1                         cloud provider outage
EV-26EE83D9C1    compute service disruption,storage failure
Name: search_query, dtype: str","evidence_id
EV-26EE83D9C1    0.45
EV-26EE83D9C1    0.45
EV-26EE83D9C1    0.45
Name: relevance_score, dtype: float64","evidence_id
EV-26EE83D9C1    OUTAGE_APPLICATION
EV-26EE83D9C1    OUTAGE_APPLICATION
EV-26EE83D9C1    OUTAGE_APPLICATION
Name: event_type_hint, dtype: str","evidence_id
EV-26EE83D9C1   NaN
EV-26EE83D9C1   NaN
EV-26EE83D9C1   NaN
Name: entity_keywords, dtype: float64","evidence_id
EV-26EE83D9C1    outage
EV-26EE83D9C1    outage
EV-26EE83D9C1    outage
Name: event_keywords, dtype: str","evidence_id
EV-26EE83D9C1    NaN
EV-26EE83D9C1    NaN
EV-26EE83D9C1    NaN
Name: asset_keywords, dtype: str"
RISK-SECURITY_RANSOMWARE-SYSTEMS-86771980,CL-000050,EV-52E1DB27D9,2025-10-08,Rescana,"Asahi Group Holdings Ransomware Attack 2025: Digital Order System Disrupted, Nationwide Beer Shortage in Japan - Rescana",https://news.google.com/rss/articles/CBMixgFBVV95cUxQNElqVjJiSGxRVW01Y1VrUTlLRkFBZksxb0Q2Tkoyd2xONFIxUWFybzJSX2pCZTRPN0VPWEFRYThqRjR2WEc1Z2pDZVRKaFpfRmtnbU9LSmQxd2ZpQ3Z6TVNUUXVueWlDTzdhQmhoZ0gyT3pBWHgwX1lsdlpFcENLLUJua2hxSDMyUHVuYnNqWV9sNGpkR1ZYT2QtTDJUUlV0R3p2WS16a3ZnQllRSjBrZzlmT2M5QzRBbFpnQkFHNE1VSGlDcnc?oc=5,news,"ransomware attack, logistics ransomware, ransomware supply chain, manufacturing ransomware",0.9,SECURITY_RANSOMWARE,,ransomware,system
RISK-OUTAGE_IDENTITY-LOGIN-1EAC82FB,CL-000192,EV-12BD99B1ED,2026-04-21,Storyboard18,Yahoo Mail faces widespread outage as users reports login failures and access issues - Storyboard18,https://news.google.com/rss/articles/CBMiywFBVV95cUxPTWRoWGd3Uk8tQXB6c3JnZXNCYnBJZG11TDhXZk1YdWZPQTJ3UG4wM004cHc4WDNyRDJKeWdMSWFOM19aQ2UtN0xGd19fOTkydjhPTUw3N2JDUXpMYmFCVzZvUmFUVHpBalczXzdsc09keGpoeVl3TDVncnMtR3JWT3B2aHZySTN1SGdBQnZTcGN4em5GdE9hLVRjblNRVHlnR3Y5OVlsNXZrb0pxbGtoRGRoYjh2SWp3dlAycnl1RlJ3aGhpdG0wSmc0NNIB0AFBVV95cUxQd0ZRUHVNcjNfcWxSTktnSk5uOGtLQmRJeVplNjFtenk2MTJLbE0tejFOc2V6NVFMMFB6TVlSREpjUjFqRXhMZkpTRkNGS3Bvem5uU241YnRKQnctQmpBMUNZVGpQbnhmb1NWSUt4UkJUU0ZnejZ3aVRrbklOdkljX0NHUDlKU0I1OTJqMlZDaVp4SjAtTU02Xzc1YWVrWnh0bE1LYnByakMtVnkyTTZBeTlsbzBaN2FyWG93ZWliRmV1aDF6VGkxNl9YMHVqbVFI?oc=5,news,"authentication failure,login disruption",0.9,OUTAGE_IDENTITY,,outage,login
RISK-OUTAGE_CLOUD_REGION-CLOUD-D84B5CE9,CL-000204,EV-CB629D1AD1,2026-04-27,capitolskyline.com,"Microsoft Outlook and Hotmail Outage, Enterprise Disruption and Cloud Reliability Risks - capitolskyline.com",https://news.google.com/rss/articles/CBMibEFVX3lxTE03bjUtNTNTMmV4bHhkbnl0UHozd3hQSmJETGduV0t2Y2pCd3JCbFNVVFR0cmZEZzRrMlRtSmZ2LWktS09mZE5GRTExVURDdVdHTENsZmpTTmo4Qjgxa0hKRGFFZnNwdHh6VkM2VQ?oc=5,news,"authentication failure,login disruption",0.9,OUTAGE_CLOUD_REGION,,"disruption,outage",cloud
RISK-OUTAGE_IDENTITY-LOGIN-1EAC82FB,CL-000207,EV-D92FF31858,2026-04-27,The Economic Times,Outlook login not working? What caused Microsoft Outlook outage today — and was it Hacked? - The Economic Times,https://news.google.com/rss/articles/CBMivwJBVV95cUxNYnVMU3BGdklQUGZEdkxwY05IVmIzQTRBbF96TmdodzY1aDlxbXV1UkVwb0NMdXd5Y280cU9Eemk3QlZsM2RwdnI0Y3RkQU5aTUZPNmZwQWt6VXA5SzR1QWVtbnZ4X0xfOTNMNDdGLVZEYmpKb1JnUlczeFVnblM1RjY3YzNOMHpnbHVNcU04U1FhQkh2ZFl4NngzQ2ZJVDdqMFdZLVpCNnllMGY0YzI2QU85czg3aVB4X2VONVZSem1KRnNXS19OQng1aU5WcWxCOG1oMFR3UEtWX0dsMUEtcW1tRGE2SUt4bF9ybkc0OFZLNkZfR1R0Z2lOR3d6amRpUkViZzA5WTRJeU1fSkJrcTVNVFhTVTJRWFgtUVl3ekp5OXozOV9qZnE5cDBPT0cyUGpwNUYxdWpFM2pVU3Vv0gHEAkFVX3lxTE9CWloyQkExLS1aSE5KOTRBUHJSb0xldXFUY0xEZUF5bHBzeDN4VGl5SzdXdUlNUDU0dEROV3NBR1E0SEtqMDNaN2I4cTR6RTlsOTNwWkE5aDhYb2F5YWlmRXBJSjFnYVBkc19Wd2JMblVxQXdRQ1J4TWNHYWJNU2xVWDh6Z0RzanVtb0Y4czE5TUx2MWF3QjVXWEdnQ25acHlmakFhYUwyTmt5dmRYa04waUdZREpoNl96WGRxSjMyZVZKZXBMakhPbF95cWN2dm9wVTRaa0NMZm80ZFBUMzNsbDZRd0w5M3RWUGxRMXhLZ2lYTktMcjVlWnJNLUNyQWFweFdMSG9lRHo0S0JuYzZtVWl0cmJNaGh2aThKWFV6b21hNVlGZzFQaHAyVlVXa1FCRG9saXdpcG5QcjN0LVo2Y1F1NQ?oc=5,news,"authentication failure,login disruption",0.9,OUTAGE_IDENTITY,,outage,login
RISK-OUTAGE_IDENTITY-AUTHENTICATION-C4423542,CL-000208,EV-06B986C70A,2026-04-27,AsatuNews.co.id,Microsoft Investigates Outlook Authentication Glitch Amid Global Outage - AsatuNews.co.id,https://news.google.com/rss/articles/CBMigwFBVV95cUxQMElIZWtCSkl0U2dUbUpVODVDU0d4bUFzSDhXdkhtdGRQdTMtQ05nTXZOazVQQmRCTEhQNnh6bkxsNGZwT2lMZ1BLWDRTVEdLaFc4amo4dUlFRWFaT002dmdyWndLS25kRC13bDZrM25FUlFGQ2Q4M2hHVWVVN3JOU1R0Zw?oc=5,news,"authentication failure,login disruption",0.9,OUTAGE_IDENTITY,,outage,authentication
RISK-SECURITY_RANSOMWARE-UNKNOWN-B3810008,CL-000026,EV-99A05614A3,2025-07-21,Halcyon,Ransomware Shuts Down 158-Year-Old UK Logistics Firm - Halcyon,https://news.google.com/rss/articles/CBMihwFBVV95cUxOX2xEaEVrU2lrdTUwUDZCNDZfb1J1ck1Gd25vS0RyWWxUdnJXQl9sMTZxM0VHVEFzc3c0U3RSRVdrNEhUUi04LXNsTkVaMmM1ZkdxTVk0OTdqc0JucXAwYzU0Rk5DQU1PbW9WcVN4bW1hWmI3RWljSm5POGRRLXBoQ0liNHhEY3c?oc=5,news,"ransomware attack, logistics ransomware, ransomware supply chain, manufacturing ransomware",0.75,SECURITY_RANSOMWARE,,ransomware,
