cluster_id,incident_title,event_type,business_function,primary_asset,scenario_title,scenario_statement,operational_impact,recovery_focus,evidence_count,evidence_strength,testing_candidate_flag,documentation_update_flag,runbook_review_flag,last_updated
CL-000001,"Understanding Batch Processing: Function, Benefits, and Historical Context - Investopedia",UNKNOWN,Order Processing,UNKNOWN,UNKNOWN impacts Order Processing,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to order processing.",Potential disruption to Order Processing,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.615644
CL-000002,Major Players in the 2008 Financial Crisis: Where Are They Now? - Investopedia,UNKNOWN,Order Processing,UNKNOWN,UNKNOWN impacts Order Processing,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to order processing.",Potential disruption to Order Processing,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.616301
CL-000003,HIPAA and Health Care Data Privacy - 2018 Year-in-Review - Mintz,UNKNOWN,Compliance & Governance,UNKNOWN,UNKNOWN impacts Compliance & Governance,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to compliance & governance.",Potential disruption to Compliance & Governance,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.616866
CL-000004,How CrowdStrike Protects Against Data-Wiping Malware - CrowdStrike,DESTRUCTIVE_CYBER_ATTACK,Security Operations,systems,DESTRUCTIVE_CYBER_ATTACK impacts Security Operations,"If DESTRUCTIVE_CYBER_ATTACK occurs affecting systems, potential disruption to security operations.",Potential disruption to Security Operations,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.617376
CL-000005,Detect CaddyWiper: Another Destructive Data Wiper to Attack Ukrainian Networks - SOC Prime,DESTRUCTIVE_CYBER_ATTACK,Security Operations,systems,DESTRUCTIVE_CYBER_ATTACK impacts Security Operations,"If DESTRUCTIVE_CYBER_ATTACK occurs affecting systems, potential disruption to security operations.",Potential disruption to Security Operations,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.617874
CL-000006,America’s Broken Criminal Legal System Contributes to Wealth Inequality - Center for American Progress,UNKNOWN,Order Processing,systems,UNKNOWN impacts Order Processing,"If UNKNOWN occurs affecting systems, potential disruption to order processing.",Potential disruption to Order Processing,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.618418
CL-000007,Oracle Cloud and NetSuite hit by global outage - Techzine Global,OUTAGE_CLOUD_REGION,Order Processing,cloud,Cloud regional outage disrupts hosted services,"If OUTAGE_CLOUD_REGION occurs affecting cloud, applications hosted in the region become unavailable.",Applications hosted in the region become unavailable,"Failover to alternate region, restore services, validate connectivity",1,Weak,True,True,True,2026-04-17T17:38:49.618929
CL-000008,Outage outrage! Why public cloud is putting data and business at risk - ERP Today,OUTAGE_CLOUD_REGION,Order Processing,cloud,Cloud regional outage disrupts hosted services,"If OUTAGE_CLOUD_REGION occurs affecting cloud, applications hosted in the region become unavailable.",Applications hosted in the region become unavailable,"Failover to alternate region, restore services, validate connectivity",1,Weak,True,True,True,2026-04-17T17:38:49.619615
CL-000009,Continuous vetting: keep your finances in order - army.mil,UNKNOWN,Order Processing,UNKNOWN,UNKNOWN impacts Order Processing,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to order processing.",Potential disruption to Order Processing,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.620181
CL-000010,Warehouse drones scan codes to help track inventory - Indianapolis Business Journal,UNKNOWN,Distribution Operations,UNKNOWN,UNKNOWN impacts Distribution Operations,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to distribution operations.",Potential disruption to Distribution Operations,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.620694
CL-000011,Major data center power failure (again): Cloudflare Code Orange tested - The Cloudflare Blog,UNKNOWN,Network Infrastructure,UNKNOWN,UNKNOWN impacts Network Infrastructure,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to network infrastructure.",Potential disruption to Network Infrastructure,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.621186
CL-000012,Week’s Second London Data Center Outage Disrupts Connectivity - Data Center Knowledge,OUTAGE_APPLICATION,Network Infrastructure,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-17T17:38:49.621725
CL-000013,POWER OUTAGE: Updates of the global situation - International Airport Review,OUTAGE_APPLICATION,Supplier Integration,applications,Critical application outage disrupts business operations,"If OUTAGE_APPLICATION occurs affecting applications, business processes are interrupted.",Business processes are interrupted,"Restart or restore application, validate integrations",1,Weak,True,True,True,2026-04-17T17:38:49.622245
CL-000014,Ukraine: Disk-wiping Attacks Precede Russian Invasion - SECURITY.COM,UNKNOWN,Security Operations,UNKNOWN,UNKNOWN impacts Security Operations,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to security operations.",Potential disruption to Security Operations,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.622805
CL-000015,9 Regulations Reshaping Global Logistics: Here’s How to Decode Them - Inbound Logistics,UNKNOWN,Compliance & Governance,UNKNOWN,UNKNOWN impacts Compliance & Governance,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to compliance & governance.",Potential disruption to Compliance & Governance,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.623310
CL-000016,RFID Solutions Attract Attention for Medication Inventory Management - American Hospital Association,UNKNOWN,Distribution Operations,UNKNOWN,UNKNOWN impacts Distribution Operations,"If UNKNOWN occurs affecting UNKNOWN, potential disruption to distribution operations.",Potential disruption to Distribution Operations,Investigate recovery procedures,1,Weak,False,True,True,2026-04-17T17:38:49.623835
